Date & Time,Product,Credits,Listing Title,Listing URL
2025-10-08 04:34:44+00:00,Refresh,51,"0% Downpayment | AED 2,300 P/M | Service and Warranty Package Available",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/glc/2024/10/14/mercedes-benz-glc-200-suv-i-aed-3205-pm-2-193---00614f830dec42b59c7a1252e8982523/
2025-10-08 04:33:29+00:00,Refresh,50,"0% DP | AED 2,012 P/M | EMC Mercedes-Benz Warranty",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/a-class/2025/9/26/0-dp-aed-2012-pm-emc-mercedes-benz-warrant-2-189---67d969acd27649ceb2dc6fd67785b0a0/
2025-10-07 15:26:55+00:00,Premium Refresh,114,"0% Downpayment | AED 2,731 P/M | Warranty and Service Package Available | Full Service History",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/cla/2025/9/4/0-downpayment-aed-2846-pm-warranty-and-ser-2-979---1a6dec20e5a24fada4933fb72a8e4565/
2025-10-07 15:14:57+00:00,Premium,271,"0% Downpayment | AED 2,946 P/M | Warranty and Service Package Available | Full-Service History",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/cls-class/2025/9/20/0-downpayment-aed-3862-pm-warranty-and-ser-2-397---a2d4e47bf4dd41408a7daa201d397067/
2025-10-07 15:14:36+00:00,Refresh,51,"0% Downpayment | AED 3,090 P/M | Gargash Mercedes-Benz Service  Warranty | Full-Service History",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/glb/2025/9/27/0-downpayment-aed-3090-pm-gargash-mercedes-2-099---ff89df6e928341afadc3803b389c8e34/
2025-10-07 15:14:31+00:00,Refresh,59,"0% Downpayment | AED 4,312 P/M | Gargash Dealer Warranty and Service Package Included",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/cla/2025/9/30/0-downpayment-aed-4312-pm-gargash-dealer-w-2-294---a2f860dcba48457d93bd6d8c9bac9eac/
2025-10-07 15:14:26+00:00,Refresh,50,"0% DP | AED 2,012 P/M | EMC Mercedes-Benz Warranty",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/a-class/2025/9/26/0-dp-aed-2012-pm-emc-mercedes-benz-warrant-2-189---67d969acd27649ceb2dc6fd67785b0a0/
2025-10-07 15:14:09+00:00,Premium Refresh,133,"S63 AMG COUPE | 0% DP | AED 3,377 P/M | Warranty   Service Package Available",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/s-class/2025/9/26/s63-amg-coupe-0-dp-aed-3377-pm-warranty-se-2-720---2f6eefa346834d7eb325bdd05c8b06fa/
2025-10-07 15:14:03+00:00,Premium Refresh,114,"0% Downpayment | AED 2,731 P/M | EMC Mercedes Warranty | Full-Service History",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/cla/2025/7/7/0-downpayment-aed-3406-pm-emc-warranty-ser-2-937---cddbdccb1c1b480795194cd17fe020a2/
2025-10-07 15:13:52+00:00,Post/Renew/Activate,127,"0% Downpayment | AED 2,946 P/M | Warranty and Service Package Available | Full-Service History",https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/cls-class/2025/9/20/0-downpayment-aed-3862-pm-warranty-and-ser-2-397---a2d4e47bf4dd41408a7daa201d397067/
